timestamp_gatillo,event_type
2022-05-09 04:00:00,long
2022-05-09 17:00:00,long
2022-05-09 18:00:00,long
2022-05-09 19:00:00,long
2022-06-01 23:00:00,long
2022-06-02 00:00:00,long
2022-07-01 10:00:00,long
2022-07-01 18:00:00,long
2022-07-01 19:00:00,long
2022-07-01 20:00:00,long
2022-07-01 21:00:00,long
2022-07-02 00:00:00,long
2022-08-19 22:00:00,long
2022-08-20 18:00:00,long
2022-08-20 19:00:00,long
2022-08-27 00:00:00,long
2022-08-27 02:00:00,long
2022-11-20 05:00:00,long
2022-11-20 06:00:00,long
2022-11-20 07:00:00,long
2022-11-20 08:00:00,long
2022-11-20 09:00:00,long
2022-11-20 10:00:00,long
2022-11-20 11:00:00,long
2022-11-20 16:00:00,long
2022-11-20 17:00:00,long
2022-11-20 18:00:00,long
2022-11-20 19:00:00,long
2023-03-11 08:00:00,long
2023-03-11 10:00:00,long
2023-08-18 14:00:00,long
2023-08-18 15:00:00,long
2023-08-18 16:00:00,long
2023-08-18 19:00:00,long
2023-08-18 22:00:00,long
2023-08-18 23:00:00,long
2023-12-11 16:00:00,long
2024-01-23 10:00:00,long
2024-01-23 11:00:00,long
2024-01-23 13:00:00,long
2024-01-23 14:00:00,long
2024-01-23 15:00:00,long
2024-01-23 17:00:00,long
2024-03-15 04:00:00,long
2024-03-15 06:00:00,long
2024-03-19 07:00:00,long
2024-03-19 10:00:00,long
2024-03-20 00:00:00,long
2024-04-22 13:00:00,long
2024-04-22 14:00:00,long
2024-04-30 10:00:00,long
2024-04-30 11:00:00,long
2024-04-30 12:00:00,long
2024-04-30 13:00:00,long
2024-04-30 14:00:00,long
2024-04-30 16:00:00,long
2024-06-07 23:00:00,long
2024-06-11 09:00:00,long
2024-06-11 10:00:00,long
2024-06-11 13:00:00,long
2024-06-11 14:00:00,long
2024-06-11 15:00:00,long
2024-06-11 20:00:00,long
2024-06-24 08:00:00,long
2024-06-24 13:00:00,long
2024-06-24 14:00:00,long
2024-06-24 15:00:00,long
2024-07-03 14:00:00,long
2024-07-03 21:00:00,long
2024-07-04 02:00:00,long
2024-07-04 11:00:00,long
2024-07-04 12:00:00,long
2024-07-04 18:00:00,long
2024-07-05 03:00:00,long
2024-07-05 04:00:00,long
2024-07-25 02:00:00,long
2024-07-25 03:00:00,long
2024-07-25 11:00:00,long
2024-07-25 12:00:00,long
2024-07-25 14:00:00,long
2024-07-25 15:00:00,long
2024-08-02 19:00:00,long
2024-08-02 22:00:00,long
2024-08-03 00:00:00,long
2024-08-04 16:00:00,long
2024-08-04 17:00:00,long
2024-08-04 19:00:00,long
2024-08-05 02:00:00,long
2024-08-05 05:00:00,long
2024-08-05 06:00:00,long
2024-08-27 13:00:00,long
2024-08-27 14:00:00,long
2024-08-27 15:00:00,long
2024-08-27 22:00:00,long
2024-08-28 03:00:00,long
2024-08-28 04:00:00,long
2024-09-06 17:00:00,long
2024-09-06 18:00:00,long
2024-10-02 10:00:00,long
2024-10-02 20:00:00,long
2024-10-02 21:00:00,long
2024-10-31 23:00:00,long
2024-12-09 22:00:00,long
2024-12-09 23:00:00,long
2024-12-18 22:00:00,long
2024-12-19 18:00:00,long
2024-12-19 19:00:00,long
