timestamps , event_type
2025-01-06 17:00:00, short
2025-01-16 15:00:00, long
2025-01-17 21:00:00, short
2025-01-24 05:00:00, short
2025-01-31 17:00:00, short
2025-01-31 05:00:00, long
2025-02-09 05:00:00, short
2025-02-11 01:00:00, short
2025-02-11 23:00:00, long
2025-02-18 18:00:00, long
2025-02-21 14:00:00, short
2025-02-24 00:00:00, short
2025-02-25 23:00:00, short
2025-02-28 07:00:00, long
2025-03-04 03:00:00, long
2025-03-06 06:00:00, short
2025-03-17 20:00:00, short
2025-03-20 01:00:00, short
2025-03-31 00:00:00, long
2025-04-02 22:00:00, short
2025-04-08 04:00:00, short
2025-04-09 03:00:00, long
2025-04-23 15:00:00, short
2025-04-27 03:00:00, short
2025-04-29 12:00:00, short
2025-05-01 17:00:00, short
2025-05-06 15:00:00, long   
2025-05-13 04:00:00, long
2025-05-18 22:00:00, long
2025-05-31 03:00:00, long
2025-06-04 17:00:00, short
2025-06-11 17:00:00, short
2025-06-13 18:00:00, short
2025-06-16 22:00:00, short
2025-06-20 10:00:00, short
2025-06-22 22:00:00, long
2025-06-25 16:00:00, long
2025-06-26 05:00:00, short
2025-06-27 03:00:00, long
2025-07-02 03:00:00, long
2025-07-03 15:00:00, short
2025-07-04 18:00:00, long
2025-07-07 18:00:00, long
2025-07-12 17:00:00, long
2025-07-15 05:00:00, long
2025-07-18 22:00:00, long
2025-07-21 16:00:00, short
2025-07-24 09:00:00, long
2025-07-28 07:00:00, short
2025-08-03 02:00:00, long
2025-08-05 00:00:00, short
2025-08-06 02:00:00, long
2025-08-14 08:00:00, short
2025-08-17 12:00:00, short
2025-08-20 03:00:00, long
2025-08-24 20:00:00, short
2025-08-26 03:00:00, long
2025-09-01 23:00:00, long
2025-09-13 05:00:00, short
2025-09-18 05:00:00, short
2025-09-25 19:00:00, long
2025-09-28 14:00:00, long
2025-09-30 02:00:00, short
2025-09-30 18:00:00, long
2025-10-07 15:00:00, short
2025-10-13 23:00:00, short
2025-10-17 12:00:00, long
2025-10-20 08:00:00, short
2025-10-22 23:00:00, long
2025-10-27 06:00:00, short
2025-11-02 08:00:00, short
2025-11-05 20:00:00, short
2025-11-07 13:00:00, long
2025-11-08 17:00:00, long
2025-11-10 02:00:00, short

